Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI[14],Willams %R[14],SMA[20],SMA[50],SMA[200],EMA[9],EMA[12],EMA[26],"MACD[12,26]",MACD Signal[9],"BB Upper[20,2]","BB Lower[20,2]",TV[22],"CO[3,10]",WMA[9],WMA[12],WMA[20],Beta[5],VWMA[20],VWMA[50],VWMA[200],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
BANKASI1PB,Bank Asia 1st Perpetual Bond,Corporate Bond,N,588.63,-,0.00,0.00,8650.00,0.0000,0,,,,,,,,,,,,,,,,,,,,,,0.01,-,-,-,-,-,-,-,-,-,-,-,8650.00,0.00,0,0.0000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,21 Dec 2025,-,-,-,680500.00,N-CB,68050
BANKASIA,Bank Asia PLC.,Bank,A,24629.72,5.60,17.70,-0.56,17.70,11.2070,"631,473",31.7087,-83.3333,18.0600,18.2660,19.2255,17.8808,17.9223,18.0840,-0.1617,-0.1466,18.5643,17.5557,14.8500,-904241.1574,17.8533,17.8731,17.9414,0.7926,0.0000,0.0000,0.0000,4.80,-,-,-,-,0.643,0.146,-,0.007,0.126,0.008,-,17.80,-0.10,322,11.2070,49.62%,39.14%,10.48%,50.38%,0.00%,0.00%,8.50,8.50,3.18,27.42,30 Apr 2026,11 Jun 2026,5.60,5.03,13915098370.00,A-EQ,1391509837
BARKAPOWER,Baraka Power Limited,Fuel & Power,Z,2543.03,30.83,10.80,-2.70,10.80,19.1280,"1,704,176",65.9571,-33.3333,9.4150,8.7420,7.7675,10.5540,10.3022,9.5476,0.7546,0.5567,11.9174,6.9126,155.4900,1234636.1729,10.8333,10.6295,10.0505,1.4037,0.0000,0.0000,0.0000,-,1.375,-,1.111,-,-,0.011,0.040,0.002,0.003,-,-,11.10,-0.30,848,19.1280,77.36%,23.02%,54.34%,22.64%,0.00%,0.00%,-,-,0.36,22.63,29 Oct 2025,24 Dec 2025,30.83,9.57,2354656610.00,Z-EQ,235465661
BATASHOE,Bata Shoe Company (Bangladesh) Limited,Tannery Industries,A,12451.54,1068.59,910.00,0.21,910.20,0.3790,416,59.0963,-40.7563,905.4800,885.6760,845.1075,909.9082,908.5256,900.4615,8.0641,8.8227,920.9970,889.9630,4.0500,-2185.0366,911.3778,910.5474,908.5729,0.4093,0.0000,0.0000,0.0000,1.15,1.452,-,0.238,0.060,0.083,0.032,0.472,0.037,0.098,-,-,908.30,1.90,30,0.3790,30.00%,19.73%,9.20%,70.00%,0.00%,1.07%,-,105.00,0.00,0.00,29 Apr 2026,-,1068.59,12.32,136800000.00,A-EQ,13680000
BATBC,British American Tobacco Bangladesh Company Limited,Food & Allied,A,129708.00,22.48,240.20,-1.15,240.20,30.5310,"126,263",53.4900,-78.3019,241.0100,227.1800,238.6710,243.4353,242.7849,237.7034,5.0815,6.0446,259.0799,222.9401,14.4100,-88289.8661,243.9044,244.0256,243.7324,1.1498,0.0000,0.0000,0.0000,1.25,1.543,-,0.738,0.163,0.192,0.070,0.404,0.052,0.105,-,-,243.00,-2.80,"1,220",30.5310,26.45%,14.38%,9.17%,72.91%,0.64%,2.90%,-,30.00,10.81,102.50,03 Mar 2026,30 Apr 2026,22.48,15.88,5400000000.00,A-EQ,540000000
BAYLEASING,Bay Leasing & Investment Limited,Financial Institutions,Z,732.62,-,5.20,0.00,5.20,1.5930,"304,518",53.3527,-50.0000,5.2650,4.8580,4.2825,5.2453,5.2343,5.1091,0.1253,0.1602,5.7022,4.8278,119.0700,-385970.6096,5.2289,5.2526,5.2686,2.0502,0.0000,0.0000,0.0000,-,-,-,-,-,1.293,8.991,-,-,-,-,-,5.20,0.00,73,1.5930,81.70%,25.52%,56.18%,18.30%,0.00%,0.00%,-,-,-6.87,-19.65,02 Jul 2026,27 Sep 2026,-,-,1408884430.00,Z-EQ,140888443
BBS,Bangladesh Building Systems PLC.,Engineering,B,2313.60,-,14.20,-2.07,14.20,13.1130,"905,147",35.8115,-92.3077,15.2350,15.2580,11.4800,14.9358,15.0348,15.1532,-0.1185,0.0431,16.2919,14.1781,270.8700,-1266944.7891,14.8556,15.0295,15.1910,1.6435,0.0000,0.0000,0.0000,-,2.624,0.324,2.056,-,0.101,-,0.207,-,-,-,-,14.50,-0.30,532,13.1130,69.99%,25.86%,44.07%,30.01%,0.00%,0.06%,-,-,-0.59,10.74,28 Oct 2025,23 Dec 2025,-,-,1629297320.00,B-EQ,162929732
BBSCABLES,BBS Cables PLC.,Engineering,B,4234.20,-,20.00,-0.99,20.00,18.8970,"929,470",24.7736,-97.5000,22.3000,23.0300,18.4545,21.4839,21.7282,22.2782,-0.5500,-0.2723,24.1122,20.4878,209.9300,-2755322.4311,21.3289,21.6449,22.0371,1.5558,0.0000,0.0000,0.0000,-,2.519,0.074,1.725,-,-,-,0.151,-,-,-,-,20.20,-0.20,817,18.8970,69.88%,23.14%,46.65%,30.12%,0.00%,0.09%,-,-,-4.05,28.01,28 Oct 2025,24 Dec 2025,-,-,2117097670.00,B-EQ,211709767
BDAUTOCA,Bangladesh Autocars Limited,Engineering,B,927.93,1193.89,214.50,-0.19,214.50,24.3560,"111,685",49.7216,-73.8182,213.6800,213.3520,168.3410,217.7810,217.0603,214.8826,2.1777,1.6198,227.8393,199.5207,616.4600,-108228.1127,219.6244,218.6603,216.1452,1.2639,0.0000,0.0000,0.0000,0.09,1.833,0.022,1.744,-,0.020,0.013,0.043,0.023,0.035,-,-,214.90,-0.40,"1,179",24.3560,69.94%,10.02%,59.92%,30.06%,0.00%,0.00%,-,2.00,0.18,7.45,28 Oct 2025,28 Dec 2025,1193.89,1790.83,43260130.00,B-EQ,4326013
BDCOM,BDCOM Online Limited,IT Sector,A,1963.66,36.63,31.20,-0.95,31.20,12.9410,"409,572",37.1615,-93.7500,32.7100,32.6640,28.1540,32.1893,32.3467,32.6029,-0.2562,-0.0309,34.1564,31.2636,418.9100,-1060164.1335,32.0911,32.2756,32.4881,1.7084,0.0000,0.0000,0.0000,1.60,2.336,-,2.051,0.136,0.086,0.063,0.550,0.034,0.055,-,-,31.50,-0.30,555,12.9410,70.00%,8.99%,61.01%,30.00%,0.00%,0.00%,5.00,5.00,0.86,15.58,27 Oct 2025,18 Dec 2025,36.63,51.36,629378650.00,A-EQ,62937865
